athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm,weight_kg,notes
ATH-08517,Alysa Liu,Female,21,2005-08-08,USA,United States,Figure Skating,Women's Singles,Winter,2026,Milan-Cortina,Individual,Gold,230.15,points,2,2,1,0,1,1073,3015,1896,1,No,Lorenzo Magri,152,48,Comeback Olympic Gold
ATH-08569,Alyssa Johnson,Female,29,1997-05-17,USA,United States,Curling,Women's Tournament,Winter,2026,Milan-Cortina,Team,Silver,5.43,points,2,3,1,1,1,1073,3015,1896,1,No,John Campbell,160.2,55.2,
ATH-08559,Anais Bernard,Female,19,2007-04-17,FRA,France,Cross-Country Skiing,50km Mass Start,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,254,780,1896,1,No,Yuri Borodavko,176.3,69.6,
ATH-08679,Anais Dubois,Female,37,1989-10-19,FRA,France,Curling,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,254,780,1896,1,No,Mikael Andersson,170.4,61.0,
ATH-08733,Anais Richard,Female,26,2000-07-15,FRA,France,Cross-Country Skiing,50km Mass Start,Winter,2026,Milan-Cortina,Individual,Bronze,12.61,minutes,2,1,0,0,1,254,780,1896,1,No,Gilles Jager,173.0,65.3,
ATH-08655,Anna Müller,Female,29,1997-10-07,GER,Germany,Skeleton,Women's Skeleton,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,283,900,1896,1,No,Yuri Borodavko,168.8,62.5,
ATH-08597,Antoine Bernard,Male,34,1992-12-24,FRA,France,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,Bronze,4.24,goals,2,1,0,0,1,254,780,1896,1,No,Stephan Hanke,173.4,71.6,
ATH-08636,Antoine Petit,Male,22,2004-05-14,FRA,France,Ski Mountaineering,Women's Sprint,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,254,780,1896,1,No,John Campbell,191.4,83.1,
ATH-08539,Antoine Robert,Male,37,1989-06-01,FRA,France,Ski Jumping,Team Large Hill,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,254,780,1896,1,No,Dieter Hegen,174.4,75.0,
ATH-08573,Antoinette Bakker,Female,25,2001-04-17,NED,Netherlands,Ski Mountaineering,Women's Sprint,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,131,380,1900,1,No,Stephan Hanke,155.6,40.8,
